# BirdBox UI language cross-reference (FSD v2.72, i18n Phase 1).
#
# HOW TO EDIT
#  - TAB-separated. Column 0 = the ENGLISH master string, exactly as rendered
#    in the UI (real characters, not HTML entities: — not &mdash;). It is the
#    lookup key; if it does not match the on-screen text letter-for-letter,
#    the string silently stays English (safe fallback, nothing breaks).
#  - Leading emoji on buttons are NOT part of the key ("💾 Save Settings" is
#    keyed as "Save Settings" — the translator strips the first token when the
#    full text has no entry).
#  - Lines starting with # are comments. Blank lines ignored.
#  - After editing: rebuild + flash (the file is embedded in the firmware).
#
# ADDING A LANGUAGE
#  1. Add its code to the #cols line below (e.g. "#cols<TAB>no<TAB>de").
#  2. Add a translation column to every row (missing cells fall back to EN).
#  3. In web_server.c: add the language to the Settings dropdown and to the
#     LANGC array (index = the settings lang enum value).
#
#cols	no
# ── Tabs ──
Live	Direkte
Gallery	Galleri
Stats	Statistikk
Settings	Innstillinger
Maint	Vedlikehold
Debug	Feilsøk
OTA Update	OTA-oppdatering
# ── Live tab ──
Rotation	Rotasjon
DETECTING	DETEKTERER
CLASSIFYING	KLASSIFISERER
FASTBIRD CHECK	HURTIGFUGL-SJEKK
DETECTION OFF	DETEKSJON AV
SD WRITE FAILING — captures are not being saved	SD-SKRIVING FEILER — bilder lagres ikke
Snapshot to SD	Øyeblikksbilde til SD
Disable detection	Slå av deteksjon
Edit detection zone	Rediger deteksjonssone
Pauses motion detection for maintenance (no visit events fire). The live view and snapshots keep working. Detection re-enables automatically on reboot.	Pauser bevegelsesdeteksjon for vedlikehold (ingen besøkshendelser utløses). Direktevisning og øyeblikksbilder virker fortsatt. Deteksjon slås automatisk på igjen ved omstart.
Tap cells to include (green) / exclude (red) from motion detection. Excluded cells are ignored, so a swaying branch or busy background won't trigger captures.	Trykk på celler for å inkludere (grønn) / ekskludere (rød) fra bevegelsesdeteksjon. Ekskluderte celler ignoreres, så en svaiende gren eller urolig bakgrunn ikke utløser opptak.
All on	Alle på
All off	Alle av
Save zone	Lagre sone
Cancel	Avbryt
# ── Gallery ──
Refresh	Oppdater
Show	Vis
All	Alle
Classified	Klassifisert
Confirmed (bird)	Bekreftet (fugl)
No bird (review)	Ingen fugl (til gjennomsyn)
Confirmed no-bird	Bekreftet ingen fugl
Other (not a bird)	Annet (ikke fugl)
Unknown / bad bird	Ukjent / dårlig fugl
Unclassified	Uklassifisert
Near threshold	Nær terskel
Select all	Velg alle
Confirm selected	Bekreft valgte
Set species▾	Sett art▾
Delete selected	Slett valgte
Recheck (day)	Sjekk dag på nytt
Recheck selected	Sjekk valgte på nytt
Set species on selected:	Sett art på valgte:
Apply	Bruk
# ── Stats ──
Today	I dag
All time	Totalt
Visits per day	Besøk per dag
Activity by hour of day	Aktivitet per time
Species	Arter
Reset Statistics	Nullstill statistikk
# ── Settings: Placement / Motion ──
Placement	Plassering
Nest box	Fuglekasse
Feeder	Fôringsplass
Motion & Capture	Bevegelse og opptak
Motion sensitivity:	Bevegelsesfølsomhet:
Frames per event (1–10)	Bilder per hendelse (1–10)
Frame interval (ms)	Bildeintervall (ms)
Cool-down between events (s)	Pause mellom hendelser (s)
Detection quarantine after boot (s)	Deteksjonskarantene etter oppstart (s)
Zoom species ID to the motion area	Zoom arts-ID til bevegelsesområdet
Reduce motion blur (fast shutter)	Reduser bevegelsesuskarphet (rask lukker)
# ── Settings: Species ID / iNaturalist ──
Species Identification	Artsidentifikasjon
Confidence threshold (%)	Konfidensterskel (%)
Species set	Artsutvalg
All species (no region filter)	Alle arter (uten regionfilter)
Norway only	Kun Norge
iNaturalist online ID (primary, free)	iNaturalist nett-ID (primær, gratis)
Identify new birds with iNaturalist first	Identifiser nye fugler med iNaturalist først
iNaturalist username	iNaturalist-brukernavn
Password	Passord
Security:	Sikkerhet:
the password is stored on the device in plain text (a flash dump would reveal it) and is never shown back or exported.	passordet lagres på enheten i klartekst (en flash-dump vil avsløre det) og vises aldri igjen eller eksporteres.
Location (nearest capital)	Plassering (nærmeste hovedstad)
Test token	Test token
Refresh token now	Forny token nå
Log in now	Logg inn nå
Forget token	Glem token
Advanced — manual fallback.	Avansert — manuell reserveløsning.
Only needed if the automatic login stops working.	Trengs bare hvis automatisk innlogging slutter å virke.
Session cookie (mints tokens for weeks)	Sesjons-cookie (lager tokens i ukevis)
iNaturalist API token (JWT, ~24 h)	iNaturalist API-token (JWT, ~24 t)
# ── Settings: Cloud ──
Cloud Identification (secondary classifier)	Sky-identifikasjon (sekundær klassifisering)
Escalates the events iNaturalist could not identify to a paid cloud vision model.	Sender hendelsene iNaturalist ikke kunne identifisere til en betalt sky-bildetjeneste.
Costs money	Koster penger
against your own API key, and	mot din egen API-nøkkel, og
photos leave the device	bilder forlater enheten
while a provider is selected — leave Off unless you are actively gathering labels.	mens en leverandør er valgt — la stå Av med mindre du aktivt samler treningsdata.
Active provider	Aktiv leverandør
Off — iNaturalist only	Av — kun iNaturalist
Anthropic API key	Anthropic API-nøkkel
Test Claude	Test Claude
Forget Claude key	Glem Claude-nøkkel
Google Gemini API key	Google Gemini API-nøkkel
Gemini model	Gemini-modell
Test Gemini	Test Gemini
Forget Gemini key	Glem Gemini-nøkkel
# ── Settings: Language / Storage / System ──
Language	Språk
English	Engelsk
Norsk (Norwegian)	Norsk
Storage & Stream	Lagring og strømming
SD retention cap (%)	SD-lagringsgrense (%)
Stream / capture JPEG quality	JPEG-kvalitet for strøm/opptak
Best	Best
High	Høy
Standard	Standard
Low	Lav
Lowest	Lavest
Resolution (needs reboot)	Oppløsning (krever omstart)
HD 1280×720 — recommended (best motion)	HD 1280×720 — anbefalt (best bevegelse)
SXGA 1280×1024 — +vertical detail, weaker motion	SXGA 1280×1024 — +vertikal detalj, svakere bevegelse
Contrast (the OV2640 has no sharpness control)	Kontrast (OV2640 mangler skarphetskontroll)
-2 (soft)	-2 (myk)
0 (default)	0 (standard)
+2 (punchy)	+2 (kraftig)
Brightness (auto-exposure level)	Lysstyrke (autoeksponering)
-2 (darker)	-2 (mørkere)
+2 (brighter)	+2 (lysere)
Image rotation (correct mount vs. subject)	Bilderotasjon (korriger montering mot motiv)
Timezone	Tidssone
Central Europe (Oslo/Berlin)	Sentral-Europa (Oslo/Berlin)
UK / Ireland	Storbritannia / Irland
Eastern Europe (Helsinki)	Øst-Europa (Helsinki)
US Eastern	USA øst
US Central	USA sentral
US Mountain	USA fjell
US Pacific	USA stillehav
NTP server	NTP-server
pool.ntp.org (default)	pool.ntp.org (standard)
Europe pool	Europa-pool
North America pool	Nord-Amerika-pool
Asia pool	Asia-pool
Custom…	Egendefinert…
Illuminator LED	Lys-LED
Off (default)	Av (standard)
Auto (on during dark hours)	Auto (på når det er mørkt)
Settings apply immediately — no reboot needed (resolution excepted).	Innstillinger trer i kraft umiddelbart — ingen omstart nødvendig (unntatt oppløsning).
Save Settings	Lagre innstillinger
Backup & Restore	Sikkerhetskopi og gjenoppretting
Download all settings to a file, or restore them from one after a reset or NVS wipe — so your tuning (zone, sensitivity, confidence…) survives a re-provision without re-entering it by hand.	Last ned alle innstillinger til en fil, eller gjenopprett dem fra en etter nullstilling eller NVS-sletting — slik at justeringene dine (sone, følsomhet, konfidens…) overlever re-provisjonering uten å måtte tastes inn på nytt.
